,Link,Name,Subtitle,Color,Price,Sale Price
62,https://www.nike.com/t/sportswear-girls-pullover-hoodie-sJS70q/BV2717-100,Nike Sportswear,Girls' Pullover Hoodie,8 Colors,$40,$27.97
63,https://www.nike.com/t/pro-big-kids-girls-tights-nbmXn1/AQ9042-010,Nike Pro,Big Kids' (Girls') Tights,2 Colors,$40,$27.97
64,https://www.nike.com/t/adapt-auto-max-76Bn7l/CZ6804-001,Nike Adapt Auto Max,Men's Shoe,1 Color,$400,$324.97
65,https://www.nike.com/t/react-vision-mens-shoe-bMtS3r/CT2927-001,Nike React Vision,Men's Shoe,2 Colors,$140,$95.97
66,https://www.nike.com/t/therma-essential-mens-running-pants-rv9Lsd/CU5518-084,Nike Therma Essential,Men's Running Pants,3 Colors,$75,$43.97
67,https://www.nike.com/t/sportswear-mens-classic-fleece-crew-H4zp9c/DA0021-399,Nike Sportswear,Men's Classic Fleece Crew,1 Color,$90,$71.97
68,https://www.nike.com/t/acg-gore-tex-misery-ridge-mens-shell-xNJRTW/CV0634-010,"Nike ACG GORE-TEX ""Misery Ridge""",Men's Shell,3 Colors,$450,$272.97
69,https://www.nike.com/t/sportswear-windrunner-big-kids-boys-jacket-4VTnX79v/850443-106,Nike Sportswear Windrunner,Big Kids' (Boys') Jacket,3 Colors,$65,$32.97
70,https://www.nike.com/t/air-max-zephyr-mens-shoe-Sq8M9P/CT1682-002,Nike Air Max Zephyr,Men's Shoe,1 Color,$190,$142.97
71,https://www.nike.com/t/zoom-freak-2-basketball-shoe-kxsk1r/DB4689-400,Zoom Freak 2,Basketball Shoe,2 Colors,$130,$89.97
72,https://www.nike.com/t/zoom-double-stacked-womens-shoe-jNLJcC/CZ2909-600,Nike Zoom Double Stacked,Women's Shoe,2 Colors,$230,$171.97
73,https://www.nike.com/t/sportswear-icon-clash-womens-satin-long-jacket-qnDkBG/CU5974-639,Nike Sportswear Icon Clash,Women's Satin Long Jacket,3 Colors,$120,$56.97
74,https://www.nike.com/t/one-womens-mid-rise-7-8-leggings-9nnzMS/AT1102-010,Nike One,Women's Mid-Rise 7/8 Leggings,2 Colors,$55,$34.97
75,https://www.nike.com/t/sportswear-womens-jersey-dress-QJmd60/CU6787-010,Nike Sportswear,Women's Jersey Dress,2 Colors,$75,$46.97
76,https://www.nike.com/t/vista-lite-womens-shoe-f347DR/CI0905-001,Nike Vista Lite,Women's Shoe,7 Colors,$100,$49.97
77,https://www.nike.com/t/air-force-1-react-mens-shoe-Qh9VC3/CW3918-001,Nike Air Force 1 React,Men's Shoe,1 Color,$120,$94.97
78,https://www.nike.com/t/therma-mens-full-zip-training-jacket-HHzdG3/BV6298-010,Nike Therma,Men's Full-Zip Training Jacket,1 Color,$120,$98.97
79,https://www.nike.com/t/sportswear-mens-woven-shorts-VFft3H/AR2382-377,Nike Sportswear,Men's Woven Shorts,2 Colors,$45,$30.97
80,https://www.nike.com/t/pro-aeroadapt-womens-tank-g0vxdf/CU5716-073,Nike Pro AeroAdapt,Women's Tank,4 Colors,$45,$30.97
81,https://www.nike.com/t/tempo-womens-running-shorts-96l2HW/CU8890-639,Nike Tempo,Women's Running Shorts,13 Colors,$30,$22.97
82,https://www.nike.com/t/one-luxe-womens-mid-rise-7-8-leggings-86pP4J/BQ9994-300,Nike One Luxe,Women's Mid-Rise 7/8 Leggings,10 Colors,$90,$80.97
83,https://www.nike.com/t/victory-womens-training-leggings-90wbjB/AQ0284-010,Nike Victory,Women's Training Leggings,2 Colors,$60,$43.97
84,https://www.nike.com/t/air-max-720-mens-shoe-Nz7NKG/AO2924-019,Nike Air Max 720,Men's Shoe,14 Colors,$180,$121.97
85,https://www.nike.com/t/lebron-17-low-basketball-shoe-fHcqqM/CD5007-003,LeBron 17 Low,Basketball Shoe,5 Colors,$160,$123.97
86,https://www.nike.com/t/zoom-freak-1-basketball-shoe-1zp8Zn/BQ5422-101,Zoom Freak 1,Basketball Shoe,6 Colors,$120,$92.97
87,https://www.nike.com/t/therma-hbr-mens-basketball-pullover-hoodie-82K8j8/CK6458-063,Nike Therma HBR,Men's Basketball Pullover Hoodie,1 Color,$55,$41.97
88,https://www.nike.com/t/dri-fit-elite-basketball-shorts-LCnp82/CI2098-100,Nike Dri-FIT Elite,Basketball Shorts,4 Colors,$45,$36.97
89,https://www.nike.com/t/tennessee-titans-kevin-byard-mens-game-football-jersey-S0JQrX/AH7736-427,NFL Tennessee Titans (Kevin Byard),Men's Game Football Jersey,1 Player Available,$100,$75.97
90,https://www.nike.com/t/dallas-cowboys-ezekiel-elliott-mens-game-football-jersey-t5nZHJ/477494-436,NFL Dallas Cowboys (Ezekiel Elliott),Men's Game Football Jersey,1 Player Available,$100,$75.97
91,https://www.nike.com/t/victori-one-womens-slide-QshJR2/CN9677-700,Nike Victori One,Women's Slide,1 Color,$30,$25.97
92,https://www.nike.com/t/pg-4-basketball-shoe-tszRns/CD5079-006,PG 4,Basketball Shoe,10 Colors,$110,$65.97
93,https://www.nike.com/t/react-frenzy-mens-shoe-SvgRQ5/CT2291-200,Nike React Frenzy,Men's Shoe,2 Colors,$160,$89.97
94,https://www.nike.com/t/flex-contact-3-womens-running-shoe-l2zs2f/AQ7488-200,Nike Flex Contact 3,Women's Running Shoe,1 Color,$75,$54.97
95,https://www.nike.com/t/dri-fit-attack-womens-training-shorts-8GMzSZ/DA0319-424,Nike Dri-FIT Attack,Women's Training Shorts,4 Colors,$25,$23.97
96,https://www.nike.com/t/just-do-it-backpack-mini-SbCHLS/CW9258-607,Nike Just Do It,Backpack (Mini),3 Colors,$40,$26.97
97,https://www.nike.com/t/air-zoom-wio-6-womens-running-shoe-xc5pkP/AQ8228-006,Nike Air Zoom Winflo 6,Women's Running Shoe,1 Color,$90,$65.97
98,https://www.nike.com/t/sportswear-mens-t-shirt-2l020l/CN1427-100,Nike Sportswear,Men's T-Shirt,2 Colors,$30,$22.97
99,https://www.nike.com/t/air-max-excee-womens-shoe-jKsgMj/DH1088-001,Nike Air Max Excee,Women's Shoe,3 Colors,$90,$55.97
100,https://www.nike.com/t/elemental-kids-backpack-0hr402/BA6032-676,Nike Elemental,Kids' Backpack,4 Colors,$35,$29.97
101,https://www.nike.com/t/kybrid-s2-basketball-shoe-LjMCLj/CQ9323-200,Kybrid S2,Basketball Shoe,5 Colors,$140,$103.97
102,https://www.nike.com/t/sb-zoom-stefan-janoski-fl-rm-skate-shoe-mg7rC9/CI3836-001,Nike SB Zoom Stefan Janoski FL RM,Skate Shoe,1 Color,$85,$69.97
103,https://www.nike.com/t/tempo-luxe-womens-3-running-shorts-w9mxtX/BV2945-318,Nike Tempo Luxe,"Women's 3"" Running Shorts",5 Colors,$40,$27.97
104,https://www.nike.com/t/vapor-select-big-kids-boys-baseball-pants-nqGfTr/BQ6440-010,Nike Vapor Select,Big Kids' (Boys') Baseball Pants,3 Colors,$35,$26.97
